"id","name","type","description","designClass","isActive","isDeleted","createdAt","updatedAt","restaurantId","name_ol","isDefault"
"1","gluten",NULL,NULL,"ico_gluten.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Gluten","1"
"2","vegano",NULL,NULL,"ico_vegan.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Vegan","1"
"3","Lactose",NULL,NULL,"ico_lactose.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Lactose","1"
"4","Vegetariano",NULL,NULL,"ico_vegetarian.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Vegetarian","1"
"5","Nozes",NULL,NULL,"ico_nuts.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Nuts","1"
"6","Frutos do mar",NULL,NULL,"ico_seafood.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Seafood","1"
"7","Ovos",NULL,NULL,"ico_eggs.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Eggs","1"
"8","Soja",NULL,NULL,"ico_soy.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Soy","1"
"9","Apimentado",NULL,NULL,"ico_spicy.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Spicy","1"
"10","Carne",NULL,NULL,"ico_meat.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Meat","1"
"11","Laticínio",NULL,NULL,"ico_dairy.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Dairy","1"
"12","Álcool",NULL,NULL,"ico_alcohol.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Alcohol","1"
"13","Sésamo",NULL,NULL,"ico_sesame.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sesame","1"
"14","sulfitos",NULL,NULL,"ico_sulfites.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Sulfites","1"
"15","Mostarda",NULL,NULL,"ico_mustard.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Mustard","1"
"16","Outro",NULL,NULL,"ico_other.png","1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Other","1"
"17","gluten",NULL,NULL,"ico_gluten.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Gluten","1"
"18","vegano",NULL,NULL,"ico_vegan.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Vegan","1"
"19","Lactose",NULL,NULL,"ico_lactose.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Lactose","1"
"20","Vegetariano",NULL,NULL,"ico_vegetarian.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Vegetarian","1"
"21","Nozes",NULL,NULL,"ico_nuts.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Nuts","1"
"22","Frutos do mar",NULL,NULL,"ico_seafood.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Seafood","1"
"23","Ovos",NULL,NULL,"ico_eggs.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Eggs","1"
"24","Soja",NULL,NULL,"ico_soy.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Soy","1"
"25","Apimentado",NULL,NULL,"ico_spicy.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Spicy","1"
"26","Carne",NULL,NULL,"ico_meat.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Meat","1"
"27","Laticínio",NULL,NULL,"ico_dairy.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Dairy","1"
"28","Álcool",NULL,NULL,"ico_alcohol.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Alcohol","1"
"29","Sésamo",NULL,NULL,"ico_sesame.png","1","0","2023-09-26 17:35:38","2023-09-26 17:35:38","2","Sesame","1"
