"id","name","ingredientType","description","isActive","isDeleted","createdAt","updatedAt","restaurantId","name_ol","isDefault"
"1","Batata Agria",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Agria potato","1"
"2","Amêndoa",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Almond","1"
"3","Anchovas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Anchovies","1"
"4","Gala da Maçã",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Apple Gala","1"
"5","Sumo de ma",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Apple juice","1"
"6","Tarte de ma",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Apple pie","1"
"7","Geléia de damasco",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Apricot Jam","1"
"8","Espargos",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Asparagus","1"
"9","massa de abacate",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Avocado mass","1"
"10","Batatas assadas",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Baked potatoes","1"
"11","molho de manjericão",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Basil bunch","1"
"12","Arroz basmati",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Basmati rice","1"
"13","folha de louro",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Bay leaf","1"
"14","Bife",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Beefsteak","1"
"15","Beterraba",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Beet","1"
"16","Feijão preto",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black bean","1"
"17","Azeitona preta",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black Olive","1"
"18","Azeitona preta",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black Olive (boneless)","1"
"19","massa preta",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black Pasta","1"
"20","Pimenta preta",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black pepper","1"
"21","gergelim preto",NULL,NULL,"1","0","2023-09-26 05:53:20","2023-09-26 05:53:20","1","Black sesame seed","1"
