"id","title","description","subCatType","subcatImage","srOrder","isActive","isDeleted","createdAt","updatedAt","categoryId","title_ol"
"163","Soup",,NULL,"public/11643612738/subcategory/2023_9_26_6_20-veglogo.jpg","0","1","0","2023-09-26 06:20:33","2023-09-26 06:20:33","1",NULL
"164","Main course",,NULL,"public/11643612738/subcategory/2023_9_26_6_27-paneermasala.jpg","0","1","0","2023-09-26 06:27:39","2023-09-26 06:27:39","1",NULL
"165","Chicken",,NULL,NULL,"0","1","0","2023-09-26 06:29:38","2023-09-26 06:29:38","2",NULL
"166","Veg",,NULL,"public/02360664868/subcategory/2023_9_27_5_14-veglogo.jpg","0","1","0","2023-09-27 05:14:05","2023-10-03 12:33:27","4","मराठी भाषा"
"167","Non Veg",,NULL,"public/02360664868/subcategory/2023_9_27_5_14-1511515155vegiconpngnonvegsymbolpngtransparent.png","0","1","0","2023-09-27 05:14:18","2024-03-07 19:24:31","4","मंत्रालय1"
"168","Punjabi",,NULL,"public/02360664868/subcategory/2023_9_27_5_20-10244.jpg","0","1","0","2023-09-27 05:20:06","2023-10-03 12:33:29","5","मंत्रालय"
"169","Quentes",,NULL,"public/65083049521/subcategory/2023_10_1_14_46-bruschettasicon.png","0","1","0","2023-09-30 14:48:57","2023-10-01 14:46:50","7","Hot starters"
"170","Frios",,NULL,"public/65083049521/subcategory/2023_10_1_14_32-coldstarters.png","0","1","0","2023-09-30 14:49:03","2023-10-01 14:32:13","7","Cold startes"
"171","Pratos principais",,NULL,NULL,"0","1","1","2023-09-30 15:23:29","2023-09-30 21:25:32","7",NULL
"172","Da nossa terra",,NULL,NULL,"0","1","1","2023-09-30 15:24:06","2023-09-30 21:25:21","7",NULL
"173","Do nosso mar",,NULL,NULL,"0","1","1","2023-09-30 15:35:30","2023-09-30 21:25:44","7",NULL
"174","Pratos vegetarianos",,NULL,NULL,"0","1","1","2023-09-30 15:41:32","2023-09-30 21:27:58","7",NULL
"175","Do nosso mar",,NULL,"public/65083049521/subcategory/2023_10_1_14_28-peixe.png","1","1","0","2023-09-30 21:19:19","2024-03-08 16:19:14","9","From our sea"
"176","As nossas carnes",,NULL,"public/65083049521/subcategory/2023_10_1_14_29-meat.jpg","0","1","0","2023-09-30 21:21:42","2024-03-08 16:19:14","9","Meat dishes"
"177","Pratos vegetarianos",,NULL,"public/65083049521/subcategory/2023_10_1_14_31-veggie.jpg","2","1","0","2023-09-30 21:25:57","2024-03-08 16:19:14","9","Vegetarian dishes"
"178","Bebidas alcoólicas",,NULL,"public/65083049521/subcategory/2023_10_1_14_27-alcoolicas.png","0","1","0","2023-10-01 14:25:58","2023-10-30 09:24:59","10","Alcoholic beverages"
"179","Bebidas sem álcool",,NULL,"public/65083049521/subcategory/2023_10_1_14_26-naoalcoolicas.png","0","1","0","2023-10-01 14:26:11","2023-10-30 09:25:24","10","Non alcoholic beverages"
"180","Entradas",,NULL,"public/97511167712/subcategory/2023_10_9_14_46-starter.png","0","1","0","2023-10-09 14:46:00","2024-05-10 09:44:18","12","Starters"
"181","Primeiros Pratos",,NULL,"public/97511167712/subcategory/2023_10_9_14_50-FirstDishes.png","2","1","0","2023-10-09 14:50:29","2024-05-10 09:44:18","12","First Dishes"
"182","Segundos Pratos",,NULL,"public/97511167712/subcategory/2023_10_9_14_54-SecondDishes.png","3","1","0","2023-10-09 14:54:08","2024-05-10 09:44:18","12","Second Dishes"
"183","Test Sub",,NULL,NULL,"0","1","0","2023-10-10 06:27:42","2023-10-10 06:29:21","3","Test Sub"
"184","Pizzas",,NULL,"public/97511167712/subcategory/2023_10_10_7_24-Pizzas.png","1","1","0","2023-10-10 07:24:35","2024-05-10 09:44:18","12","Pizzas"
"185","Sobremesas",,NULL,"public/97511167712/subcategory/2023_10_10_7_29-Desserts.png","4","1","0","2023-10-10 07:29:03","2024-05-10 09:44:18","12","Desserts"
"186","Nigiri & Sashimi (2 peças)",,NULL,"public/62816170264/subcategory/2023_10_10_11_3-sashimi.png","3","1","0","2023-10-10 10:48:48","2024-05-23 16:20:15","13","Nigiri & Sashimi (2 pieces)"
"187","Maki Rolls (6 peças)",,NULL,"public/62816170264/subcategory/2023_10_10_11_4-maki.png","0","1","0","2023-10-10 11:04:40","2024-05-23 16:20:15","13","Maki Rolls"
"188","Especial",,NULL,"public/62816170264/subcategory/2023_10_10_11_12-Specialrolls.png","1","0","0","2023-10-10 11:12:45","2024-05-23 16:20:15","13","Special Rolls"
"189","Bolos",,NULL,NULL,"1","1","0","2023-11-08 18:31:17","2023-11-08 22:16:30","26",NULL
"190","Salgados",,NULL,NULL,"2","1","0","2023-11-08 18:31:25","2023-11-08 22:16:30","26",NULL
"191","Sandes",,NULL,NULL,"4","1","0","2023-11-08 18:31:29","2023-11-08 22:16:30","26",NULL
"192","Vinhos",,NULL,NULL,"15","1","0","2023-11-08 18:31:43","2023-11-09 21:38:13","27",NULL
"193","Bebidas Brancas",,NULL,NULL,"16","1","0","2023-11-08 18:31:52","2023-11-09 21:38:13","27",NULL
"194","Cafés e chás",,NULL,NULL,"0","1","0","2023-11-08 22:13:07","2023-11-08 22:16:30","26",NULL
"195","Tostas",,NULL,NULL,"3","1","0","2023-11-08 22:16:25","2023-11-08 22:16:30","26",NULL
"196","Peixes",,NULL,"public/24380772995/subcategory/2023_12_16_13_53-douradaescalada.jpg","0","1","0","2023-11-21 19:54:27","2023-12-16 13:53:34","40",NULL
"197","Carne",,NULL,"public/24380772995/subcategory/2023_12_16_13_53-bifefrigideira.jpg","0","1","0","2023-11-21 19:54:33","2023-12-16 13:53:59","40",NULL
"198","Especialidades da casa",,NULL,"public/24380772995/subcategory/2023_12_16_13_54-arrozdemarisco.jpg","0","1","0","2023-11-21 19:54:44","2023-12-16 13:54:18","40",NULL
"199","Couverts",,NULL,"public/24380772995/subcategory/2023_12_16_12_31-couvert.jpg","0","1","0","2023-11-21 22:56:57","2024-03-29 09:47:22","38","test"
"200","Sopas",,NULL,"public/24380772995/subcategory/2023_12_16_13_52-crememarisco.jpg","0","1","0","2023-11-21 22:57:03","2023-12-16 13:52:40","38",NULL
"201","Queijos",,NULL,"public/24380772995/subcategory/2023_12_16_13_53-QueijoNisa2bx.png","0","1","0","2023-11-21 22:57:13","2023-12-16 13:53:04","38",NULL
"202","Mariscos",,NULL,"public/24380772995/subcategory/2023_12_16_13_53-sapateira.jpg","0","1","0","2023-11-21 22:57:22","2023-12-16 13:53:16","38",NULL
"203","Bebidas com álcool",,NULL,NULL,"0","1","0","2023-11-21 23:04:49","2023-11-21 23:04:49","43",NULL
"204","Bebidas sem álcool",,NULL,"public/24380772995/subcategory/2023_12_16_13_55-Cocacola.jpg","0","1","0","2023-11-21 23:04:56","2023-12-16 13:55:06","43",NULL
"205","GRELHADOS",,NULL,NULL,"0","1","1","2023-12-06 16:34:23","2024-04-30 13:03:43","52",NULL
"206","Base",,NULL,NULL,"0","1","1","2023-12-07 16:40:57","2023-12-07 16:41:32","53",NULL
"207","Proteína",,NULL,NULL,"0","1","1","2023-12-07 16:41:07","2023-12-07 16:41:43","53",NULL
"208","Fruta",,NULL,NULL,"0","1","1","2023-12-07 16:41:15","2023-12-07 16:41:48","53",NULL
"209","Grilled",,NULL,"public/87984726010/subcategory/2023_12_15_18_44-elchefoZd3n1jD7hkunsplash.jpg","7","1","0","2023-12-10 16:08:11","2024-04-04 10:44:34","54","Grilled"
"210","Fried",,NULL,"public/87984726010/subcategory/2023_12_15_18_40-leorozaCLMpC9UhyTounsplash.jpg","8","1","0","2023-12-10 16:08:21","2024-04-04 10:44:34","54","Fried"
"211","Salad",,NULL,"public/87984726010/subcategory/2023_12_15_18_39-alinachernyshevaoj2hBf5TOFMunsplash.jpg","1","1","0","2023-12-10 16:08:32","2024-04-04 10:44:34","54","Salad"
"212","In curry sauce",,NULL,"public/87984726010/subcategory/2023_12_15_18_37-dragnemariusEdzsUFqHbaYunsplash.jpg","9","1","0","2023-12-10 16:08:48","2024-04-04 10:44:34","54","In curry sauce"
"213","Burger",,NULL,"public/87984726010/subcategory/2023_12_15_18_37-chadmontanoGFCYhoRe48unsplash.jpg","10","1","0","2023-12-15 18:09:10","2024-04-04 10:44:34","54","Burger"
